id,loan_amnt,term,int_rate,installment,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,total_pymnt
1077501,5000, 36 months,10.65%,162.87,RENT,24000,Verified,Dec-11,Fully Paid,credit_card,5863.155187
1077430,2500, 60 months,15.27%,59.83,RENT,30000,Source Verified,Dec-11,Charged Off,car,1008.71
1077175,2400, 36 months,15.96%,84.33,RENT,12252,Not Verified,Dec-11,Fully Paid,small_business,3005.666844
1076863,10000, 36 months,13.49%,339.31,RENT,49200,Source Verified,Dec-11,Fully Paid,other,12231.89
1075358,3000, 60 months,12.69%,67.79,RENT,80000,Source Verified,Dec-11,Current,other,3513.33
1075269,5000, 36 months,7.90%,156.46,RENT,36000,Source Verified,Dec-11,Fully Paid,wedding,5632.21
1069639,7000, 60 months,15.96%,170.08,RENT,47004,Not Verified,Dec-11,Fully Paid,debt_consolidation,10110.84
1072053,3000, 36 months,18.64%,109.43,RENT,48000,Source Verified,Dec-11,Fully Paid,car,3939.135294
1071795,5600, 60 months,21.28%,152.39,OWN,40000,Source Verified,Dec-11,Charged Off,small_business,646.02
1071570,5375, 60 months,12.69%,121.45,RENT,15000,Verified,Dec-11,Charged Off,other,1476.19
1070078,6500, 60 months,14.65%,153.45,OWN,72000,Not Verified,Dec-11,Fully Paid,debt_consolidation,7678.017673
1069908,12000, 36 months,12.69%,402.54,OWN,75000,Source Verified,Dec-11,Fully Paid,debt_consolidation,13947.98916
1064687,9000, 36 months,13.49%,305.38,RENT,30000,Source Verified,Dec-11,Charged Off,debt_consolidation,2270.7
1069866,3000, 36 months,9.91%,96.68,RENT,15000,Source Verified,Dec-11,Fully Paid,credit_card,3480.269999
1069057,10000, 36 months,10.65%,325.74,RENT,1.00E+05,Source Verified,Dec-11,Charged Off,other,7471.99
1069759,1000, 36 months,16.29%,35.31,RENT,28000,Not Verified,Dec-11,Fully Paid,debt_consolidation,1270.716942
1065775,10000, 36 months,15.27%,347.98,RENT,42000,Not Verified,Dec-11,Fully Paid,home_improvement,12527.15
1069971,3600, 36 months,6.03%,109.57,MORTGAGE,110000,Not Verified,Dec-11,Fully Paid,major_purchase,3785.271965
1062474,6000, 36 months,11.71%,198.46,MORTGAGE,84000,Verified,Dec-11,Fully Paid,medical,7167.072893
1069742,9200, 36 months,6.03%,280.01,RENT,77385.19,Not Verified,Dec-11,Fully Paid,debt_consolidation,9460.000848
1069740,20250, 60 months,15.27%,484.63,RENT,43370,Verified,Dec-11,Fully Paid,debt_consolidation,27679.05
1039153,21000, 36 months,12.42%,701.73,RENT,105000,Verified,Dec-11,Charged Off,debt_consolidation,14025.4
1069710,10000, 36 months,11.71%,330.76,OWN,50000,Source Verified,Dec-11,Fully Paid,credit_card,11907.35
1069700,10000, 36 months,11.71%,330.76,RENT,50000,Not Verified,Dec-11,Fully Paid,debt_consolidation,11540.89198
1069559,6000, 36 months,11.71%,198.46,RENT,76000,Not Verified,Dec-11,Charged Off,major_purchase,2050.14
1069697,15000, 36 months,9.91%,483.38,MORTGAGE,92000,Verified,Dec-11,Fully Paid,credit_card,15823.99905
1069800,15000, 36 months,14.27%,514.64,RENT,60000,Not Verified,Dec-11,Charged Off,debt_consolidation,0
1069657,5000, 60 months,16.77%,123.65,RENT,50004,Not Verified,Dec-11,Charged Off,other,1609.12
1069799,4000, 36 months,11.71%,132.31,MORTGAGE,106000,Not Verified,Dec-11,Fully Paid,debt_consolidation,4486.293519
1047704,8500, 36 months,11.71%,281.15,RENT,25000,Source Verified,Dec-11,Fully Paid,credit_card,10126.08844
1032111,4375, 36 months,7.51%,136.11,MORTGAGE,17108,Source Verified,Dec-11,Fully Paid,debt_consolidation,4899.96
1069539,31825, 36 months,7.90%,995.82,MORTGAGE,75000,Verified,Dec-11,Fully Paid,debt_consolidation,34886.91378
1065420,10000, 60 months,15.96%,242.97,RENT,29120,Verified,Dec-11,Current,debt_consolidation,12594.24
1069591,5000, 36 months,8.90%,158.77,RENT,24044,Verified,Dec-11,Fully Paid,debt_consolidation,5715.56
1069530,7000, 36 months,15.96%,245.97,RENT,34000,Source Verified,Dec-11,Fully Paid,credit_card,8854.510004
1069522,12400, 36 months,10.65%,403.91,RENT,41000,Not Verified,Dec-11,Fully Paid,credit_card,14540.67999
1069361,10800, 36 months,9.91%,348.03,RENT,55596,Source Verified,Dec-11,Fully Paid,moving,12159.18687
1069357,15000, 36 months,7.90%,469.36,RENT,45000,Verified,Dec-11,Fully Paid,debt_consolidation,16663.34403
1069356,6000, 36 months,12.42%,200.5,RENT,36852,Source Verified,Dec-11,Fully Paid,debt_consolidation,7127.722011
1069346,12500, 60 months,12.69%,282.44,RENT,27000,Verified,Dec-11,Current,debt_consolidation,14636.3
1067573,9600, 36 months,7.51%,298.67,RENT,68004,Source Verified,Dec-11,Fully Paid,other,10751.86997
1069506,12000, 36 months,7.90%,375.49,RENT,62300,Not Verified,Dec-11,Fully Paid,debt_consolidation,13517.36
1069314,3000, 36 months,18.25%,108.84,MORTGAGE,65000,Not Verified,Dec-11,Fully Paid,other,3917.949999
1060578,4400, 36 months,16.77%,156.37,RENT,55000,Not Verified,Dec-11,Fully Paid,debt_consolidation,5629.270001
1069469,6000, 36 months,6.03%,182.62,MORTGAGE,45600,Not Verified,Dec-11,Fully Paid,debt_consolidation,6065.86
1051117,14000, 36 months,9.91%,451.15,RENT,80000,Not Verified,Dec-11,Fully Paid,small_business,16241.38
1069465,5000, 36 months,8.90%,158.77,MORTGAGE,1.00E+05,Source Verified,Dec-11,Charged Off,debt_consolidation,5021.37
1069283,10000, 36 months,10.65%,325.74,RENT,27000,Verified,Dec-11,Fully Paid,other,11726.32
1069287,10000, 36 months,6.03%,304.36,RENT,60000,Not Verified,Dec-11,Fully Paid,credit_card,10282.70571
1069453,11000, 36 months,6.62%,337.75,RENT,70000,Not Verified,Dec-11,Fully Paid,debt_consolidation,12158.61
1069248,15000, 36 months,9.91%,483.38,MORTGAGE,80000,Not Verified,Dec-11,Charged Off,debt_consolidation,16177.77
1068120,25600, 36 months,9.91%,824.96,RENT,110000,Verified,Dec-11,Fully Paid,credit_card,29698.51
1069244,7000, 36 months,10.65%,228.02,RENT,40000,Not Verified,Dec-11,Fully Paid,debt_consolidation,8208.410003
1069243,12000, 36 months,15.96%,421.65,RENT,50000,Not Verified,Dec-11,Charged Off,car,3521.95
1069238,12000, 36 months,9.91%,386.7,RENT,46000,Not Verified,Dec-11,Fully Paid,credit_card,13751.14474
1069410,21000, 60 months,19.91%,555.33,RENT,50000,Verified,Dec-11,Charged Off,debt_consolidation,18319.14
1068409,16000, 60 months,19.91%,423.11,RENT,81000,Verified,Dec-11,Fully Paid,credit_card,20882.09701
1068487,10000, 36 months,12.42%,334.16,OWN,39000,Not Verified,Dec-11,Fully Paid,debt_consolidation,11477.10378
1043961,10000, 36 months,10.65%,325.74,RENT,51400,Not Verified,Dec-11,Fully Paid,credit_card,10576.43411
1068945,7100, 36 months,16.77%,252.33,MORTGAGE,33000,Verified,Dec-11,Fully Paid,debt_consolidation,9083.530005
1069142,13000, 60 months,12.69%,293.74,MORTGAGE,30000,Source Verified,Dec-11,Fully Paid,debt_consolidation,17402.23999
1068934,17500, 60 months,17.27%,223.74,RENT,40000,Verified,Dec-11,Fully Paid,small_business,13227.10001
1069136,17675, 60 months,14.65%,417.25,RENT,50000,Source Verified,Dec-11,Fully Paid,debt_consolidation,21323.86749
1068923,8000, 36 months,16.77%,284.31,RENT,62000,Not Verified,Dec-11,Fully Paid,debt_consolidation,10273.24
1069126,10000, 60 months,10.65%,215.69,RENT,45996,Verified,Dec-11,Charged Off,debt_consolidation,8772.91
1069102,3500, 36 months,10.65%,114.01,MORTGAGE,55000,Not Verified,Dec-11,Fully Paid,debt_consolidation,4104.209999
1069093,12500, 60 months,17.27%,223.11,RENT,30000,Source Verified,Dec-11,Charged Off,debt_consolidation,5577.75
1069030,16425, 36 months,14.27%,563.53,RENT,44544,Source Verified,Dec-11,Fully Paid,debt_consolidation,18174.82881
1068906,8200, 60 months,21.28%,223.14,RENT,75000,Source Verified,Dec-11,Charged Off,small_business,4173.57
1069073,15000, 36 months,14.65%,517.42,OWN,61000,Verified,Dec-11,Fully Paid,credit_card,18565.14804
1069043,20975, 60 months,17.58%,341.63,MORTGAGE,44000,Verified,Dec-11,Fully Paid,credit_card,18112.46087
1060981,6400, 36 months,16.77%,227.45,RENT,75000,Not Verified,Dec-11,Charged Off,debt_consolidation,4776.45
1069071,3000, 36 months,13.49%,101.8,RENT,33600,Not Verified,Dec-11,Fully Paid,debt_consolidation,3247.889478
1069070,12000, 36 months,16.77%,426.47,RENT,50000,Not Verified,Dec-11,Fully Paid,credit_card,15352.47999
1068893,14400, 36 months,8.90%,457.25,OWN,150000,Source Verified,Dec-11,Fully Paid,debt_consolidation,16460.85
1068882,12000, 36 months,14.65%,413.94,RENT,90000,Not Verified,Dec-11,Fully Paid,debt_consolidation,12699.71201
1069039,11000, 36 months,13.49%,373.24,MORTGAGE,48000,Verified,Dec-11,Fully Paid,debt_consolidation,13418.28
1068416,7250, 60 months,21.67%,197.51,RENT,75000,Verified,Dec-11,Fully Paid,debt_consolidation,8204.774089
1068997,15000, 36 months,7.90%,469.36,MORTGAGE,52000,Not Verified,Dec-11,Fully Paid,small_business,15557.68008
1048390,18000, 60 months,19.91%,475.99,MORTGAGE,65000,Not Verified,Dec-11,Fully Paid,debt_consolidation,26034.66002
1068994,35000, 60 months,17.27%,551.84,MORTGAGE,150000,Verified,Dec-11,Fully Paid,home_improvement,28887.10007
1068475,10000, 36 months,14.27%,343.09,RENT,68000,Source Verified,Dec-11,Fully Paid,credit_card,10672.89443
1068989,11800, 36 months,12.69%,395.83,RENT,42000,Source Verified,Dec-11,Fully Paid,credit_card,14249.84001
1068967,4500, 36 months,6.03%,136.96,RENT,53000,Source Verified,Dec-11,Fully Paid,major_purchase,4930.555891
1068744,7000, 36 months,12.69%,234.82,RENT,35000,Source Verified,Dec-11,Fully Paid,credit_card,8453.260001
1045509,9200, 36 months,12.42%,307.43,RENT,60000,Source Verified,Dec-11,Fully Paid,debt_consolidation,10482.84389
1063958,14000, 60 months,17.27%,349.98,RENT,28000,Verified,Dec-11,Current,other,18176.96
1041756,4500, 60 months,10.65%,97.06,MORTGAGE,42000,Source Verified,Dec-11,Fully Paid,car,4910.673856
1068694,12000, 36 months,16.29%,423.61,RENT,88365,Verified,Dec-11,Fully Paid,debt_consolidation,14688.34153
1068792,12000, 36 months,13.49%,407.17,RENT,72000,Source Verified,Dec-11,Fully Paid,debt_consolidation,13990.92132
1068558,12000, 36 months,10.65%,390.88,RENT,62000,Verified,Dec-11,Fully Paid,credit_card,12780.07239
1068322,7000, 36 months,10.65%,228.02,MORTGAGE,43680,Not Verified,Dec-11,Fully Paid,credit_card,7689.273614
1065674,8200, 60 months,19.42%,214.62,RENT,120000,Source Verified,Dec-11,Fully Paid,debt_consolidation,11909.45001
1068547,10500, 36 months,12.69%,352.23,RENT,66000,Verified,Dec-11,Fully Paid,medical,11233.31941
1068545,7000, 36 months,11.71%,231.54,OWN,39120,Not Verified,Dec-11,Fully Paid,debt_consolidation,7933.963623
1068575,15300, 60 months,22.06%,423.1,RENT,85000,Verified,Dec-11,Current,credit_card,21988.2
1049528,20000, 60 months,11.71%,282.86,MORTGAGE,47800,Verified,Dec-11,Fully Paid,debt_consolidation,15169.30547
1068542,17500, 60 months,17.27%,437.47,MORTGAGE,45000,Not Verified,Dec-11,Charged Off,credit_card,10037.1
1068350,3500, 36 months,6.03%,106.53,MORTGAGE,83000,Verified,Dec-11,Fully Paid,car,3834.858171
1067874,6000, 60 months,12.69%,135.57,RENT,81000,Source Verified,Dec-11,Current,major_purchase,7037.39
1068509,6200, 36 months,9.91%,199.8,RENT,25000,Not Verified,Dec-11,Charged Off,debt_consolidation,2452.22
1034693,16000, 60 months,17.58%,402.65,RENT,65000,Not Verified,Dec-11,Current,debt_consolidation,20908.55
1068508,6000, 36 months,8.90%,190.52,OWN,28800,Not Verified,Dec-11,Fully Paid,debt_consolidation,6858.700001
1066641,7200, 36 months,9.91%,232.02,RENT,135000,Not Verified,Dec-11,Fully Paid,credit_card,8352.709998
1068315,9500, 36 months,8.90%,301.66,MORTGAGE,50000,Not Verified,Dec-11,Fully Paid,credit_card,10495.82126
1068309,18825, 60 months,16.77%,465.53,RENT,38000,Verified,Dec-11,Charged Off,debt_consolidation,18749.25
1068326,24000, 36 months,10.65%,781.76,RENT,45000,Verified,Dec-11,Fully Paid,debt_consolidation,28143.25001
1066767,6000, 36 months,13.49%,203.59,RENT,80000,Not Verified,Dec-11,Fully Paid,debt_consolidation,7328.920002
1068484,6000, 36 months,13.49%,203.59,RENT,50000,Not Verified,Dec-11,Fully Paid,debt_consolidation,7328.920002
1068292,2100, 36 months,12.42%,70.18,MORTGAGE,30000,Not Verified,Dec-11,Fully Paid,vacation,2553.84
1068273,5500, 36 months,6.62%,168.88,MORTGAGE,110000,Verified,Dec-11,Fully Paid,small_business,6079.289999
1068274,11000, 36 months,6.62%,337.75,OWN,45608,Source Verified,Dec-11,Fully Paid,debt_consolidation,12158.61
1068440,26800, 60 months,20.89%,723.38,MORTGAGE,120000,Verified,Dec-11,Fully Paid,debt_consolidation,32895.86293
1046456,8000, 36 months,12.69%,268.36,MORTGAGE,35000,Not Verified,Dec-11,Fully Paid,debt_consolidation,9000.143229
1068012,10000, 36 months,18.25%,362.78,RENT,75000,Source Verified,Dec-11,Charged Off,credit_card,11730.6
1055725,8000, 36 months,11.71%,264.61,MORTGAGE,35000,Verified,Dec-11,Fully Paid,credit_card,9435.85818
1061814,10000, 36 months,8.90%,317.54,RENT,24000,Verified,Dec-11,Fully Paid,debt_consolidation,10869.33055
1068232,12000, 36 months,11.71%,396.92,MORTGAGE,126000,Not Verified,Dec-11,Fully Paid,debt_consolidation,14183.43257
1068405,10000, 36 months,7.90%,312.91,RENT,43000,Not Verified,Dec-11,Fully Paid,debt_consolidation,11264.48
1068395,12000, 36 months,9.91%,386.7,RENT,50000,Not Verified,Dec-11,Fully Paid,debt_consolidation,13921.18
1068202,25000, 60 months,13.49%,575.12,MORTGAGE,67000,Verified,Dec-11,Charged Off,credit_card,23880.65
1068006,19750, 36 months,10.65%,643.33,RENT,45000,Verified,Dec-11,Charged Off,debt_consolidation,11930.65
1068075,10000, 36 months,9.91%,322.25,RENT,31200,Source Verified,Dec-11,Fully Paid,debt_consolidation,10904.83903
1065642,13650, 36 months,12.42%,456.12,RENT,66000,Verified,Dec-11,Fully Paid,debt_consolidation,16012.11212
1068179,28000, 60 months,19.91%,312.04,RENT,52000,Verified,Dec-11,Charged Off,debt_consolidation,12173.07
1068158,18000, 36 months,7.90%,563.23,RENT,56964,Source Verified,Dec-11,Fully Paid,debt_consolidation,20276.0603
1068180,2500, 36 months,14.27%,85.78,RENT,49500,Source Verified,Dec-11,Fully Paid,debt_consolidation,2529.902083
1065673,21000, 60 months,20.30%,559.89,RENT,70000,Verified,Dec-11,Fully Paid,credit_card,27097.72185
1068159,35000, 36 months,8.90%,1111.37,MORTGAGE,125000,Verified,Dec-11,Fully Paid,debt_consolidation,40009.00999
1068165,10000, 36 months,7.51%,311.11,RENT,33000,Not Verified,Dec-11,Fully Paid,credit_card,11028.3575
1059689,7000, 36 months,12.69%,234.82,RENT,30000,Source Verified,Dec-11,Fully Paid,credit_card,8453.250717
1066215,24000, 36 months,15.96%,843.3,MORTGAGE,90000,Source Verified,Dec-11,Charged Off,home_improvement,5895.68
1063270,10625, 36 months,7.51%,330.56,MORTGAGE,23000,Not Verified,Dec-11,Fully Paid,medical,11843.01164
1067931,5000, 36 months,14.65%,172.48,RENT,24000,Source Verified,Dec-11,Fully Paid,debt_consolidation,5682.99014
1067922,8850, 36 months,6.62%,271.73,RENT,62000,Source Verified,Dec-11,Fully Paid,credit_card,9782.190001
1067919,6375, 36 months,7.51%,198.34,RENT,44000,Source Verified,Dec-11,Fully Paid,debt_consolidation,6737.872873
1068106,6000, 36 months,11.71%,198.46,RENT,90000,Not Verified,Dec-11,Fully Paid,credit_card,7041.911592
1068111,11100, 36 months,6.62%,340.82,RENT,41000,Verified,Dec-11,Charged Off,credit_card,8120.14
1067655,10000, 60 months,12.69%,225.95,MORTGAGE,56000,Source Verified,Dec-11,Fully Paid,debt_consolidation,12739.07
1060662,6200, 36 months,6.03%,188.71,MORTGAGE,26500,Not Verified,Dec-11,Fully Paid,small_business,6793.18285
1061304,15000, 36 months,18.64%,547.12,RENT,54000,Not Verified,Dec-11,Fully Paid,debt_consolidation,19405.30244
1068095,4200, 36 months,11.71%,138.92,RENT,53000,Not Verified,Dec-11,Fully Paid,other,5001.080367
1067182,14000, 36 months,14.27%,480.33,RENT,52800,Not Verified,Dec-11,Fully Paid,debt_consolidation,14488.26632
822464,8875, 36 months,7.51%,276.11,MORTGAGE,38000,Not Verified,Dec-11,Fully Paid,debt_consolidation,9713.561012
1063526,13500, 36 months,9.91%,435.04,RENT,38000,Verified,Dec-11,Fully Paid,debt_consolidation,15659.00546
1068091,12000, 36 months,9.91%,386.7,RENT,42000,Not Verified,Dec-11,Charged Off,debt_consolidation,11234.49
1068090,16000, 60 months,19.91%,423.11,RENT,55000,Verified,Dec-11,Fully Paid,debt_consolidation,22286.22034
1068082,21600, 60 months,19.42%,565.32,MORTGAGE,60000,Source Verified,Dec-11,Fully Paid,debt_consolidation,27586.78141
1068078,6000, 36 months,10.65%,195.44,MORTGAGE,87000,Not Verified,Dec-11,Fully Paid,home_improvement,7000.232528
1057633,8450, 60 months,16.77%,208.97,OWN,25000,Verified,Dec-11,Fully Paid,debt_consolidation,12206.22001
1046204,20000, 60 months,13.49%,460.1,RENT,82000,Not Verified,Dec-11,Fully Paid,credit_card,26403.41
1067794,10000, 36 months,11.71%,330.76,RENT,60000,Not Verified,Dec-11,Charged Off,debt_consolidation,6002.23
1067816,12000, 36 months,16.29%,423.61,MORTGAGE,80000,Verified,Dec-11,Fully Paid,credit_card,14949.9047
1068018,13475, 60 months,13.49%,309.99,RENT,25000,Verified,Dec-11,Charged Off,credit_card,6198.89
1052996,7200, 36 months,12.42%,240.59,RENT,48000,Not Verified,Dec-11,Fully Paid,major_purchase,8677.64414
1067818,5600, 36 months,14.65%,193.17,MORTGAGE,85000,Not Verified,Dec-11,Charged Off,debt_consolidation,1350.86
1064842,12000, 36 months,14.27%,411.71,RENT,57000,Verified,Dec-11,Fully Paid,debt_consolidation,14401.59573
